Payment Submission Detail Report,1.0,2018-02-13 to 2018-02-13,,,,,,,
batch_id,merchant_id,batch_date,request_id,merchant_ref_number,trans_ref_no,payment_method,currency,amount,transaction_type,payment_processor
"20068741761","uma_garage_parcs","2018-02-13","5184523728476971203075","636540311725794570","421780019XEKHXD2KFGWG","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184524913456178303064","636540312910443135","421775175XEKDZD2I2BCH","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184525952836611003065","636540313948298953","421772277XEKDRD2HRQUM","MasterCard","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184529025846734003065","636540317024100345","421778284XEKIID2KT82L","Visa","USD","20.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184529154766745203065","636540317152096880","421772694XEKHWD2KFG6J","Discover","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184531297326314703015","636540319294143078","421781258XEKIYD2KV8PI","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184531359366317503015","636540319356957990","421779167XEKI4D2KHTP0","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184531630536328503015","636540319627720720","421780760XEKE2D2I28XI","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184532165236350003015","636540320163301012","421780087XEKHXD2KFIC3","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184532431596362603015","636540320428444762","421781554XEKEID2IAWRV","MasterCard","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184533849916418703015","636540321846884749","421783053XEKIFD2KT4ZI","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184538140286122003065","636540326138902510","421786248XEKHWD2KFHH0","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184538257076126703065","636540326255359585","421782689XEKI5D8YS1Z7","American Express","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184538991436936503019","636540326989332938","421789244XEKDQD2HRP56","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184539297056311203054","636540327294731608","421788264XEKDUD2HRRE6","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184539526976216303014","636540327523754074","421786382XEKECD2L4RAU","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184540354956247103014","636540328350664292","421782600XEKEDD2L4SF9","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184545914786791103049","636540333913079250","421790559XEKI4D2KHVJ0","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184546089696799103049","636540334087359990","421793351XEKE6D2I2HKB","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184547363196253003074","636540335360667598","421795529XEKI0D2KHXG7","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184547755066277003074","636540335752968087","421794920XEKDRD2HRU3I","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184547970936293303074","636540335969112397","421791383XEKIYD2KVB3H","Discover","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184550261436204303075","636540338259395970","421798614XEKIVD2KVC8U","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184550557286217003075","636540338554617562","421790063XEKL8D2KV6FJ","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184550685956222803075","636540338683793882","421789793XEKIZD2KV9SC","MasterCard","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184551080396783503014","636540339078184026","421795348XEKIGD95C14H","MasterCard","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184551102536784203014","636540339100958338","421793258XEKIFD2KT7IU","Visa","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184551154586786203014","636540339152688840","421798618XEKIVD2KVCDU","American Express","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184551290436792603014","636540339287567066","421791488XEKICD2KSPQL","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184551293286129903049","636540339289227286","421799313XEKIWD2KVAYD","MasterCard","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184551877226056003052","636540339875610694","421797226XEKI3D2KHW6Q","Discover","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184552004096060903052","636540340001767882","421798225XEKDQD2HRR7Z","Visa","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184552027416062003052","636540340025128154","421800015XEKITD2KUT35","American Express","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184552162506068303052","636540340160777894","421791492XEKICD2KSPW1","Discover","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184552370206076703052","636540340368003511","421791795XEKHMD8YMHG9","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184553461316555603072","636540341458301886","421793393XEKE6D2I2J1W","American Express","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184553601066561503072","636540341598922520","421801503XEKE9D8YGH8S","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184553707826566003072","636540341704209766","421800419XEKDVD2HRUIC","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184553888426573303072","636540341886235091","421796857XEKE3D2I2GG5","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184554001726578603072","636540342000253141","421801505XEKE9D8YGHAT","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184554129436583903072","636540342127806867","421794945XEKDRD2HRVBB","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184554306426109303061","636540342304991405","421792286XEKIAD2KSNVF","Visa","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184554383576112703061","636540342381003925","421801614XEKE2D2I2CH6","Visa","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184554477556117903061","636540342475968466","421801419XEKI6D2KSLOG","MasterCard","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184554558036121003061","636540342556130711","421801907XEKL3D2KHXWE","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184554887996232203023","636540342884942165","421801216XEKHFD2KC015","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184555071386142303061","636540343067828813","421802203XEKHND2KE87T","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184555258686151403061","636540343257013849","421797663XEKL5D2KHXJ9","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184555386386384003024","636540343384245297","421801624XEKE2D2I2CND","Visa","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184555570356622103062","636540343565815377","421794796XEKL2D2KFJIV","Visa","USD","7.00","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184555818746404503024","636540343816846650","421797751XEKIID2KTCER","Visa","USD","1.75","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184555830556405403024","636540343828653744","421796781XEKE4D2I2FMO","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184556120466517503060","636540344118715166","421797956XEKE7D2L4VNJ","MasterCard","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184556194516520703060","636540344192241142","421802207XEKHND2KE8DM","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184556297326525503060","636540344294508326","421797055XEKDTD2HRX6B","Visa","USD","3.50","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184556415516700603074","636540344411739390","421799228XEKHBD2KBWHJ","Visa","USD","5.25","ics_bill","Vital"
"20068741761","uma_garage_parcs","2018-02-13","5184556457846702603074","636540344453645296","421799639XEKE5D2I2DNW","Visa","USD","3.50","ics_bill","Vital"
